id,totalCost,neighbourhood,bedrooms,url
892906160,2300,Sagrada Família,3,https://www.quintoandar.com.br/imovel/892906160/
893250509,2259,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893250509/
893441670,2192,Santa Tereza,2,https://www.quintoandar.com.br/imovel/893441670/
893368154,2190,Sagrada Família,2,https://www.quintoandar.com.br/imovel/893368154/
893368218,1960,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893368218/
893365623,1789,Sagrada Família,2,https://www.quintoandar.com.br/imovel/893365623/
894266372,2997,Sion,2,https://www.quintoandar.com.br/imovel/894266372/
894406187,2572,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894406187/
893183983,1739,Alto Barroca,3,https://www.quintoandar.com.br/imovel/893183983/
893172900,2289,Colégio Batista,3,https://www.quintoandar.com.br/imovel/893172900/
892854221,2061,Sagrada Família,2,https://www.quintoandar.com.br/imovel/892854221/
893519216,2795,Santo Antônio,2,https://www.quintoandar.com.br/imovel/893519216/
893486077,2500,São Pedro,2,https://www.quintoandar.com.br/imovel/893486077/
892930953,1931,Sagrada Família,2,https://www.quintoandar.com.br/imovel/892930953/
893460015,1961,Floresta,2,https://www.quintoandar.com.br/imovel/893460015/
893257893,1931,Sagrada Família,2,https://www.quintoandar.com.br/imovel/893257893/
894413925,2526,Alto Barroca,3,https://www.quintoandar.com.br/imovel/894413925/
894405506,2619,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/894405506/
892889992,2384,Funcionários,2,https://www.quintoandar.com.br/imovel/892889992/
894415055,2228,Colégio Batista,2,https://www.quintoandar.com.br/imovel/894415055/
893958066,2940,Anchieta,2,https://www.quintoandar.com.br/imovel/893958066/
893856914,2885,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/893856914/
892892914,2557,Anchieta,3,https://www.quintoandar.com.br/imovel/892892914/
893868554,2446,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893868554/
894416942,2790,Sagrada Família,3,https://www.quintoandar.com.br/imovel/894416942/
892967677,2048,Sagrada Família,3,https://www.quintoandar.com.br/imovel/892967677/
893716935,2564,Anchieta,2,https://www.quintoandar.com.br/imovel/893716935/
893111812,1934,São Lucas,3,https://www.quintoandar.com.br/imovel/893111812/
894420559,1870,Prado,3,https://www.quintoandar.com.br/imovel/894420559/
894085920,2724,São Lucas,3,https://www.quintoandar.com.br/imovel/894085920/
894299359,2294,Serra,2,https://www.quintoandar.com.br/imovel/894299359/
894422120,1903,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894422120/
893274954,2683,Anchieta,3,https://www.quintoandar.com.br/imovel/893274954/
894422462,2371,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/894422462/
893243413,1957,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893243413/
894404424,2920,Gutierrez,3,https://www.quintoandar.com.br/imovel/894404424/
893369734,2705,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893369734/
894428386,2918,Santa Lúcia,2,https://www.quintoandar.com.br/imovel/894428386/
894428371,2502,Santa Lúcia,2,https://www.quintoandar.com.br/imovel/894428371/
894427931,2190,Santa Lúcia,2,https://www.quintoandar.com.br/imovel/894427931/
894428384,2190,Santa Lúcia,2,https://www.quintoandar.com.br/imovel/894428384/
894405556,2410,Colégio Batista,3,https://www.quintoandar.com.br/imovel/894405556/
894424783,1735,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894424783/
893124230,1709,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/893124230/
893619809,2728,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893619809/
894430644,2657,Floresta,3,https://www.quintoandar.com.br/imovel/894430644/
893543699,2258,Sagrada Família,2,https://www.quintoandar.com.br/imovel/893543699/
